Arquivo aberto com sucesso!
StringID	ID	Type	X	Y	Demand	ServiceBy
StringID	ID	Type	X	Y	Demand	ServiceBy
D0		0	d	9.8	15.4	0	-
C1		1	c	14.3	-6.4	2.6	D/T
C2		2	c	15.5	11.8	2.33	D/T
C3		3	c	14.2	1.5	0.84	D/T
C4		4	c	-14.8	-0.6	2.28	D/T
C5		5	c	13.5	12.6	3.18	D/T
C6		6	c	10.5	1.2	1.7	D/T
C7		7	c	4.8	19.4	1.04	D/T
C8		8	c	1.1	-14.1	2.58	D/T
C9		9	c	-0.3	19.6	4.02	D/T
C10		10	c	-4.2	-8	4.16	D/T
C11		11	c	10.1	13.2	4.54	D/T
C12		12	c	5.5	10.9	2.17	D/T
C13		13	c	-19.8	12.6	4.95	D/T
C14		14	c	-5.3	3.2	3.43	D/T
C15		15	c	-17.5	16.8	1.95	D/T
C16		16	c	5.5	6.3	2.06	D/T
C17		17	c	5.1	-3.8	4.51	D/T
C18		18	c	3.1	-14.1	3.54	D/T
C19		19	c	7.2	-12.5	0.69	D/T
C20		20	c	-3.5	13.7	2.43	D/T
C21		21	c	-19.7	16.3	2.9	D/T
C22		22	c	-4.1	-14.4	0.64	D/T
C23		23	c	-16.7	1.2	3.95	D/T
C24		24	c	7.8	7.1	2.29	D/T
C25		25	c	-13.8	13	1.26	D/T
C26		26	c	5.3	5.1	4.28	D/T
C27		27	c	-10.8	-14.1	3.18	D/T
C28		28	c	-2	-13.4	2.79	D/T
C29		29	c	-20	-11.8	3.93	D/T
C30		30	c	13.9	-4.2	3.05	D/T
C31		31	c	-2.2	7.4	0.67	D/T
C32		32	c	-7.9	-7.9	1.15	D/T
C33		33	c	-5.1	-5	1.26	D/T
C34		34	c	4.3	16.4	3.09	D/T
C35		35	c	15.6	-1.2	1.68	D/T
C36		36	c	16.5	-5	1.29	D/T
C37		37	c	15.4	-13.8	3.34	D/T
C38		38	c	1.4	-2.5	4.48	D/T
C39		39	c	12.3	19.2	4.86	D/T
C40		40	c	-0.9	17.6	1.04	D/T
C41		41	c	-1.5	-12.2	1.81	D/T
C42		42	c	-5.5	16.1	1.03	D/T
C43		43	c	-13.3	18.7	4.96	D/T
C44		44	c	-3.1	5.8	1.35	D/T
C45		45	c	-14	12.8	4.58	D/T
C46		46	c	16.9	-9.5	2.23	D/T
C47		47	c	-13	12.8	0.67	D/T
C48		48	c	5.8	19.3	3.85	D/T
C49		49	c	-0.3	12.2	62.41	T
C50		50	c	16.8	14.6	74.59	T
C51		51	c	13	15.9	75.86	T
C52		52	c	18.2	0.3	17.75	T
C53		53	c	13.1	5.6	40.26	T
C54		54	c	-4	8.9	52.46	T
C55		55	c	-10.1	-2.8	99.85	T
C56		56	c	-4.2	-3.8	75.56	T
C57		57	c	19	-11.9	53.87	T
C58		58	c	-6	4.8	15.52	T
C59		59	c	-9.7	15	43.02	T
C60		60	c	4.7	-15.5	19.26	T
C61		61	c	-15.5	-1.5	19	T
C62		62	c	9.3	-16.1	44.39	T
C63		63	c	4.1	-17.1	27.05	T
C64		64	c	-3.3	0.6	15.4	T
C65		65	c	-11.3	1.4	51.05	T
C66		66	c	4.9	-8.2	77.87	T
C67		67	c	13.2	-1	73.87	T
C68		68	c	19.6	4.1	93.77	T
C69		69	c	-5.1	-12.7	48.66	T
C70		70	c	17.3	3.1	34.51	T
C71		71	c	-9.1	-3.9	24.55	T
