       Solução (f1 | f2 | f3)  Número de ocorrências  Gerações
 9314.23 | 3.29741 | 105461.0                      3 5, 10, 14
    10702.8 | 2.05 | 120853.0                      2    37, 37
 10463.0 | 2.15354 | 131965.0                      2    17, 26
 10697.8 | 2.21667 | 128289.0                      2    18, 23
 11452.6 | 2.32667 | 179820.0                      1         5
9981.35 | 0.916085 | 120049.0                      1        45
 9722.23 | 1.98667 | 137434.0                      1        37
10895.2 | 0.800909 | 151326.0                      1        38
   9582.8 | 2.57336 | 90406.0                      1        39
 9549.17 | 2.53398 | 106284.0                      1        40
 12344.2 | 1.00938 | 112166.0                      1        41
   9462.8 | 2.57336 | 92028.3                      1        44
 10430.9 | 0.874242 | 87222.6                      1        49
 8890.17 | 2.76248 | 104229.0                      1        47
 10536.7 | 2.77605 | 109476.0                      1        36
  8957.82 | 1.02516 | 89558.2                      1        49
11667.9 | 0.618991 | 112827.0                      1        50
11125.6 | 0.485035 | 100110.0                      1        50
 10858.1 | 0.800909 | 96074.9                      1        50
  9635.13 | 1.00833 | 94903.5                      1        50
 9268.79 | 2.18204 | 118858.0                      1        36
 9950.99 | 2.09333 | 143244.0                      1        32
 9782.23 | 2.02667 | 139128.0                      1        34
 9878.79 | 2.18537 | 131917.0                      1        20
 10678.4 | 3.10154 | 142049.0                      1         6
 9591.54 | 3.18217 | 133772.0                      1         6
  9440.1 | 3.29741 | 104819.0                      1        10
 9883.56 | 3.29741 | 112005.0                      1        12
 10527.7 | 2.39447 | 131914.0                      1        17
 8932.73 | 2.96112 | 111873.0                      1        18
 13546.7 | 1.25478 | 184685.0                      1        20
 10869.9 | 2.46667 | 178776.0                      1         5
 9603.79 | 2.18537 | 130298.0                      1        20
  10351.1 | 3.30584 | 91792.0                      1        21
     11644.8 | 2.1 | 135654.0                      1        24
 9966.67 | 2.06605 | 124224.0                      1        30
 10370.3 | 2.15354 | 125976.0                      1        31
 9324.73 | 2.21687 | 120767.0                      1        32
12122.0 | 0.534034 | 123823.0                      1        50
